timestamp;1327622900;1427623200;1427623500;1427623800;1427624100;1427624400;1427624700;1427625000;1427625300;1427625600;1427625900;1427626200;1427626500;1427626800;1427627100;1427627400;1427627700;1427628000;1427628300;1427628600;1427628900;1427629200;1427629500;1427629800;1427630100;1427630400;1427630700;1427631000;1427631300;1427631600;1427631900;1427632200;1427632500;1427632800;1427633100;1427633400;1427633700;1427634000;1427634300;1427634600;1427634900;1427635200;1427635500;1427635800;1427636100;1427636400;1427636700;1427637000;1427637300;1427637600;1427637900;1427638200;1427638500;1427638800;1427639100;1427639400;1427639700;1427640000;1427640300;1427640600;1427640900;1427641200;1427641500;1427641800;1427642100;1427642400;1427642700;1427643000;1427643300;1427643600;1427643900;1427644200;1427644500;1427644800;1427645100;1427645400;1427645700;1427646000;1427646300;1427646600;1427646900;1427647200;1427647500;1427647800;1427648100;1427648400;1427648700;1427649000;1427649300;1427649600;1427649900;1427650200;1427650500;1427650800;1427651100;1427651400;1427651700;1427652000;1427652300;1427652600;1427652900;1427653200;1427653500;1427653800;1427654100;1427654400;1427654700;1427655000;1427655300;1427655600;1427655900;1427656200;1427656500;1427656800;1427657100;1427657400;1427657700;1427658000;1427658300;1427658600;1427658900;1427659200;1427659500;1427659800;1427660100;1427660400;1427660700;1427661000;1427661300;1427661600;1427661900;1427662200;1427662500;1427662800;1427663100;1427663400;1427663700;1427664000;1427664300;1427664600;1427664900;1427665200;1427665500;1427665800;1427666100;1427666400;1427666700;1427667000;1427667300;1427667600;1427667900;1427668200;1427668500;1427668800;1427669100;1427669400;1427669700;1427670000;1427670300;1427670600;1427670900;1427671200;1427671500;1427671800;1427672100;1427672400;1427672700;1427673000;1427673300;1427673600;1427673900;1427674200;1427674500;1427674800;1427675100;1427675400;1427675700;1427676000;1427676300;1427676600;1427676900;1427677200;1427677500;1427677800;1427678100;1427678400;1427678700;1427679000;1427679300;1427679600;1427679900;1427680200;1427680500;1427680800;1427681100;1427681400;1427681700;1427682000;1427682300;1427682600;1427682900;1427683200;1427683500;1427683800;1427684100;1427684400;1427684700;1427685000;1427685300;1427685600;1427685900;1427686200;1427686500;1427686800;1427687100;1427687400;1427687700;1427688000;1427688300;1427688600;1427688900;1427689200;1427689500;1427689800;1427690100;1427690400;1427690700;1427691000;1427691300;1427691600;1427691900;1427692200;1427692500;1427692800;1427693100;1427693400;1427693700;1427694000;1427694300;1427694600;1427694900;1427695200;1427695500;1427695800;1427696100;1427696400;1427696700;1427697000;1427697300;1427697600;1427697900;1427698200;1427698500;1427698800;1427699100;1427699400;1427699700;1427700000;1427700300;1427700600;1427700900;1427701200;1427701500;1427701800;1427702100;1427702400;1427702700;1427703000;1427703300;1427703600;1427703900;1427704200;1427704500;1427704800;1427705100;1427705400;1427705700;1427706000;1427706300;1427706600;1427706900;1427707200;1427707500;1427707800;1427708100;1427708400;1427708700;1427709000;1427709300;1427709600;1427709900;1427710200;1427710500;1427710800;1427711100;1427711400;1427711700;1427712000;1427712300;1427712600
outTempD;10.0;10.0;10.1;10.1;10.2;10.3;10.3;10.3;10.3;10.4;10.4;10.4;10.3;10.2;10.2;10.1;10.1;10.0;10.0;9.9;10.0;10.1;10.3;10.3;10.3;10.4;10.5;10.5;10.5;10.5;10.6;10.7;10.7;10.8;10.7;10.8;10.8;10.8;10.9;10.8;10.8;10.8;10.9;10.9;10.9;10.9;10.9;10.9;10.8;10.8;10.8;10.8;10.7;10.7;10.8;10.8;10.8;10.9;10.9;11.1;11.1;11.2;11.0;10.9;10.8;10.8;10.7;10.7;10.7;10.7;10.7;10.7;10.7;10.8;10.8;10.8;10.8;10.8;10.9;10.9;10.9;10.9;10.8;10.8;10.7;10.8;10.8;10.8;10.8;10.8;10.8;10.8;10.8;10.7;10.7;10.7;10.7;10.8;10.7;10.7;10.7;10.8;10.8;10.8;10.7;10.7;10.7;10.7;10.8;10.7;10.7;10.7;10.7;10.7;10.7;10.7;10.7;10.7;10.7;10.7;10.8;10.8;10.8;10.9;10.9;11.0;10.9;10.8;10.8;10.8;10.8;10.8;10.8;10.8;10.8;10.8;10.8;10.8;10.8;10.8;10.8;10.8;10.7;10.6;10.6;10.7;10.8;10.7;10.8;10.8;10.8;10.7;10.7;10.7;10.7;10.7;10.7;10.6;10.6;10.6;10.6;10.6;10.6;10.4;10.3;10.3;10.2;10.2;10.1;10.0;9.9;9.9;9.8;9.7;9.6;9.4;9.4;9.3;9.3;9.3;9.2;9.1;9.0;8.9;8.8;8.8;8.7;8.7;8.7;8.6;8.6;8.6;8.6;8.6;8.6;8.5;8.5;8.5;8.4;8.4;8.4;8.4;8.3;8.3;8.3;8.3;8.3;8.3;8.3;8.3;8.2;8.2;8.2;8.2;8.2;8.1;8.1;8.1;8.1;8.0;7.9;7.8;7.8;7.8;7.8;7.8;7.8;7.8;7.8;7.8;7.8;7.8;7.8;7.8;7.7;7.7;7.7;7.7;7.7;7.7;7.7;7.7;7.7;7.7;7.8;7.8;8.0;8.1;8.1;8.1;8.2;8.1;8.1;8.2;8.3;8.6;8.8;9.0;9.1;9.0;8.8;8.7;8.7;8.7;8.6;8.5;8.5;8.4;8.4;8.5;8.7;9.1;9.3;9.3;9.2;9.2;9.2;9.2;9.2;9.2;9.3;9.3;9.3;9.3;9.3;9.4;9.2;8.8;8.3;7.9;7.6;7.3;7.2;7.0;6.9;6.8;6.8;6.8;7.1;7.5
outHum;87;86;87;86;87;87;86;86;86;87;86;85;85;85;85;86;88;87;87;87;87;88;87;87;87;87;86;86;87;87;88;86;86;87;86;87;87;86;87;87;86;86;86;86;85;86;86;86;86;86;86;87;87;87;87;86;86;86;86;85;85;86;86;86;87;87;88;87;88;88;88;87;88;88;88;88;87;87;88;87;87;88;88;88;88;87;88;88;88;87;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;89;88;88;89;88;88;88;87;86;86;86;87;88;88;88;88;89;89;88;88;88;88;88;88;88;88;89;89;90;89;88;88;89;88;88;88;88;87;87;87;87;87;87;86;86;85;85;85;86;87;87;87;87;88;89;88;87;87;85;86;87;87;88;87;88;89;89;88;88;89;89;89;90;90;90;90;90;90;90;90;90;91;91;91;90;90;90;90;90;91;91;91;91;91;91;91;91;91;91;90;90;90;90;90;90;90;90;90;90;90;89;89;90;90;89;89;89;88;88;88;87;87;87;88;87;87;88;87;86;86;86;85;85;85;84;85;84;84;85;85;84;83;82;81;80;79;79;79;80;80;81;81;82;82;82;81;80;77;77;76;76;76;75;75;75;76;75;75;75;75;75;76;80;81;84;86;87;87;85;85;84;82;83;85;82
windSpeedkmh;7.2;25.2;10.8;3.6;10.8;3.6;7.2;14.4;14.4;10.8;7.2;18;10.8;14.4;14.4;14.4;10.8;14.4;21.6;7.2;7.2;10.8;14.4;18;10.8;14.4;10.8;7.2;14.4;7.2;18;10.8;14.4;10.8;28.8;7.2;18;18;18;14.4;18;21.6;21.6;21.6;25.2;18;14.4;21.6;14.4;21.6;14.4;14.4;14.4;18;25.2;21.6;18;21.6;10.8;14.4;18;14.4;21.6;25.2;21.6;10.8;18;10.8;14.4;25.2;18;21.6;18;18;10.8;21.6;25.2;21.6;21.6;21.6;21.6;21.6;14.4;18;14.4;28.8;14.4;28.8;21.6;28.8;18;18;14.4;18;21.6;18;21.6;25.2;18;10.8;18;14.4;14.4;32.4;10.8;18;18;14.4;18;21.6;25.2;25.2;18;14.4;21.6;18;28.8;21.6;18;25.2;14.4;25.2;28.8;18;21.6;18;28.8;10.8;18;21.6;28.8;14.4;14.4;18;18;21.6;18;14.4;14.4;18;14.4;14.4;18;21.6;21.6;28.8;25.2;14.4;25.2;28.8;18;18;21.6;21.6;21.6;28.8;14.4;14.4;18;18;18;14.4;21.6;18;18;21.6;21.6;18;14.4;10.8;10.8;25.2;18;25.2;10.8;14.4;18;10.8;18;10.8;10.8;10.8;10.8;7.2;7.2;10.8;10.8;7.2;10.8;14.4;10.8;14.4;14.4;10.8;14.4;18;10.8;10.8;10.8;10.8;10.8;7.2;14.4;10.8;10.8;7.2;14.4;18;14.4;10.8;14.4;14.4;10.8;18;10.8;14.4;14.4;18;10.8;14.4;10.8;14.4;14.4;10.8;10.8;10.8;14.4;10.8;7.2;14.4;14.4;7.2;10.8;14.4;10.8;18;10.8;14.4;10.8;18;10.8;10.8;14.4;14.4;10.8;14.4;21.6;14.4;14.4;14.4;14.4;18;14.4;10.8;10.8;25.2;10.8;14.4;14.4;18;21.6;14.4;10.8;10.8;10.8;14.4;10.8;14.4;18;14.4;18;10.8;14.4;21.6;28.8;18;10.8;18;25.2;21.6;10.8;18;18;14.4;14.4;10.8;10.8;10.8;14.4;10.8;14.4;10.8;14.4;18;14.4;14.4;18;14.4;14.4;14.4
rainUnit;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;0;1;0;0;1;1;1;0;1;1;2;1;1;1;1;1;1;0;2;0;1;1;1;1;0;2;0;1;1;1;1;0;1;0;1;0;1;1;2;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;1;0;1;0;3;2;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;1;1;1;1;1;0;1;0;2;1;1;1;0;1;1;0;1;1;1;1;1;0;1;2;1;0;2;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;1;0;0;0;0;0;0;0
